title,origin,is_question,has_keyword,has_number,avg_word_length,count_words,label
„Shopping Queen“ Quiz,promi,0,1,0,6,3,0
Patrick & Christopher Schwarzenegger: So ungleich sehen die Söhne von Arnie aus ,webde,0,1,0,6,11,0
Fotostrecke: So bereitete sich Österreich auf den Eurovision Song Contest vor,wiki,0,1,0,6,11,1
Daniel Küblböck: War er vor dem Sprung bereits verletzt?,promi,1,0,0,5,9,0
Dwayne Johnson: So lernte er seine Freundin Lauren Hashian kennen,promi,0,1,0,5,10,0
Mehrere Deichbrüche in Niedersachsen: Katastrophenfall ausgerufen,wiki,0,0,0,9,6,1
Harry Styles mit neuer Flamme? ,webde,1,0,0,5,5,0
Dance Dance Dance 2017: Alle Kandidaten und News zur RTL-Show,bravo,0,1,0,5,9,0
Vereinigte Arabische Emirate: US-Marine tötet indischen Fischer,wiki,0,0,0,7,7,1
Thüringen: Lieberknecht bleibt CDU-Vorsitzende,wiki,0,0,0,10,4,1
Polizistenmord von Augsburg: Zwei Tatverdächtige festgenommen,wiki,0,0,0,9,6,1
The Weeknd & Bella Hadid: Verlobung?,bravo,1,0,0,5,5,0
Die Volkswagen AG will am Standort Brüssel Arbeitsplätze abbauen,wiki,0,0,0,6,9,1
Bundesarbeitsministerin warnt vor der Gefahr von Altersarmut,wiki,0,0,0,7,7,1
Irak: Verfassungskommission braucht mehr Zeit,wiki,0,1,0,8,5,1
US-Behörden kontrollieren Daten des internationalen Zahlungsverkehrs,wiki,0,0,0,10,6,1
Oscars 2018: So viel #Metoo steckte in der Preisverleihung ,promi,0,1,0,5,8,0
Chinesische Mondsonde weiter auf Kurs,wiki,0,0,0,6,5,1
Genting Group investiert in Mecklenburg-Vorpommern,wiki,0,0,0,9,5,1
Juice WRLD: So trauern die Stars um den Rapper,bravo,0,1,0,4,9,0
„The Crown“: Darum wurden die Darsteller ersetzt,promi,0,1,0,5,7,0
Gewusst? Martin Rütter wuchs ohne Hunde auf,promi,1,0,0,5,7,0
Herzogin Meghan: Wird sie die Hochzeit ihrer Freundin Priyanka Chopra besuchen? ,promi,1,0,0,6,11,0
Hamas gewinnt palästinensische Parlamentswahl,wiki,0,0,0,10,4,1
Demonstration gegen Vorratsdatenspeicherung zieht Tausende nach Berlin,wiki,0,0,0,9,7,1
